Stimuli,Origin,Reference
ab-im,En,0
bait-im,En,0
bigijawan,En,0
bigwan,En,0
bij-ing,En,0
bijinbat,En,0
bla_mela,En,0
bliding,En,0
boi,En,0
botul,En,0
canetoad,En,0
faya,En,0
femli,En,0
fens,En,0
fut,En,0
futwok,En,0
gel-wan,En,0
guana,En,0
hepi-wei,En,0
id-im,En,0
jaartkarra,G,0
jamana,G,0
janginyina,G,0
jangkarni,G,0
jarrakap,G,0
jinek,En,0
jitji,G,0
jouim,En,0
jurlaka,G,1
juru,G,0
juwelap,En,1
kalu,G,0
kangarnta,G,0
kankula,G,0
katurl,G,0
kirrawa,G,0
klaimap,En,0
kungulu,G,0
kurlpam,G,0
kurru,G,0
kurrurij,G,0
laitning,En,0
lijin,En,0
likim,En,0
long-wei,En,0
makin,G,1
malyju,G,0
mami-wan,En,0
marrinyu,G,0
mawuj,En,0
motika,En,0
murlukurn,G,0
narrinyjila,G,0
nekstu,En,0
nes,En,0
ngakparn,G,0
ngalyak,G,0
ngamayi,G,0
ngantipany,G,0
nos,En,0
nungkiny,G,0
ojij,En,0
ontop,En,0
ors,En,0
partaj,G,0
partik,G,0
pleij,En,0
pujikat,En,1
tetul,En,0
tok,En,0
wamala,G,0
wansaid,En,0
wari,G,0
warlaku,G,1
warlu,G,0
wiyit,G,0
wok,En,0
wuyurrunkarra,G,0
yawarta,G,0
yikili,G,0